indicator,purchase_date,sale_date,qty,scheme_name,purchase_amount,index_cost,sale_amount,short_term_gain_loss,long_term_gain_loss,clientname,commonscripcode,client_code,revised_cost_price,31st_jan_price,isin,asset_class,short_term_gain_loss_percent,long_term_gain_loss_percent,purchase_price,sale_price,absolute_gain_loss,portfolio_weight,taxable_gain_loss,folio_no,source,account_no
S,2021-11-16,2021-11-26,143.0,TCI EXPRESS LTD,286979.55,0,321680.0587,34700.5087,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,11342.0,7404.0,0.0,0.0,INE586V01016,Equity,12.09,0.0,2006.85,2249.51,34700.5087,2.33,34700.51,,E,
S,2021-11-16,2021-11-26,1209.0,HIMATSINGKA SEIDE LTD,279883.5,0,258546.3426,-21337.1574,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,6633.0,7404.0,0.0,0.0,INE049A01027,Equity,-7.62,0.0,231.5,213.85,-21337.1574,2.89,-21337.16,,E,
S,2021-11-16,2021-11-26,4633.0,GATI LTD,781355.45,0,742231.6182,-39123.8318,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,1495.0,7404.0,0.0,0.0,INE152B01027,Equity,-5.01,0.0,168.65,160.21,-39123.8318,1.01,-39123.83,,E,
S,2021-11-16,2021-11-26,1328.0,GRANULES INDIA LTD,395478.4,0,419760.7472,24282.3472,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,4981.0,7404.0,0.0,0.0,INE101D01020,Equity,6.14,0.0,297.8,316.08,24282.3472,1.78,24282.35,,E,
S,2021-11-16,2021-11-26,322.0,ANGEL ONE LTD,392920.5,0,366413.3956,-26507.1044,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,13292.0,7404.0,0.0,0.0,INE732I01013,Equity,-6.75,0.0,1220.25,1137.93,-26507.1044,2.04,-26507.1,,E,
S,2021-11-16,2021-11-26,1326.0,APL APOLLO TUBES LTD,1210836.9,0,1199948.5836,-10888.3164,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,6027.0,7404.0,0.0,0.0,INE702C01027,Equity,-0.9,0.0,913.15,904.94,-10888.3164,0.62,-10888.32,,E,
S,2021-11-16,2021-11-26,521.0,TANLA PLATFORMS LTD,690819.95,0,798536.1269,107716.1769,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,1234.0,7404.0,0.0,0.0,INE483C01032,Equity,15.59,0.0,1325.95,1532.7,107716.1769,0.94,107716.18,,E,
L,2014-04-25,2021-10-01,123517.787,ICICI Pru Balanced Advantage-G,2500000.00888,0.0,5991847.84737,0.0,3491847.83849,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5694.0,7442.0,33.47,33.47,INF109K01BH2,Balanced,0.0,139.67,20.24,48.51,3491847.83849,0.4,3491847.84,6409285/67,M,6409285/67|INF109K01BH2
L,2014-10-13,2021-10-01,63965.885,ICICI Pru Balanced Advantage-G,1500000.00325,0.0,3102985.08135,0.0,1602985.0781,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5694.0,7442.0,33.47,33.47,INF109K01BH2,Balanced,0.0,106.87,23.45,48.51,1602985.0781,0.76,1602985.08,6409285/67,M,6409285/67|INF109K01BH2
L,2015-04-21,2021-10-01,29620.853,ICICI Pru Balanced Advantage-G,749999.99796,0.0,1436907.57903,0.0,686907.58107,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5694.0,7442.0,33.47,33.47,INF109K01BH2,Balanced,0.0,91.59,25.32,48.51,686907.58107,1.65,686907.58,7429440/49,M,7429440/49|INF109K01BH2
L,2015-05-13,2021-10-01,29644.269,ICICI Pru Balanced Advantage-G,750000.0057,0.0,1438043.48919,0.0,688043.48349,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5694.0,7442.0,33.47,33.47,INF109K01BH2,Balanced,0.0,91.74,25.3,48.51,688043.48349,1.65,688043.48,7429440/49,M,7429440/49|INF109K01BH2
L,2015-06-04,2021-10-01,29644.269,ICICI Pru Balanced Advantage-G,750000.0057,0.0,1438043.48919,0.0,688043.48349,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5694.0,7442.0,33.47,33.47,INF109K01BH2,Balanced,0.0,91.74,25.3,48.51,688043.48349,1.65,688043.48,7429440/49,M,7429440/49|INF109K01BH2
L,2015-06-30,2021-10-01,11727.912,ICICI Pru Balanced Advantage-G,299999.98896,0.0,568921.01112,0.0,268921.02216,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5694.0,7442.0,33.47,33.47,INF109K01BH2,Balanced,0.0,89.64,25.58,48.51,268921.02216,4.16,268921.02,7429440/49,M,7429440/49|INF109K01BH2
L,2015-07-07,2021-10-01,11538.462,ICICI Pru Balanced Advantage-G,300000.012,0.0,559730.79162,0.0,259730.77962,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5694.0,7442.0,33.47,33.47,INF109K01BH2,Balanced,0.0,86.58,26.0,48.51,259730.77962,4.23,259730.78,7429440/49,M,7429440/49|INF109K01BH2
L,2015-07-14,2021-10-01,11511.31,ICICI Pru Balanced Advantage-G,299178.9469,0.0,558413.6481,0.0,259234.7012,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5694.0,7442.0,33.47,33.47,INF109K01BH2,Balanced,0.0,86.65,25.99,48.51,259234.7012,4.24,259234.7,7429440/49,M,7429440/49|INF109K01BH2
S,2020-01-24,2021-09-03,22099.017,Franklin India Credit Risk Fund - Segregated Portfolio 2 Reg-G,0.0,0.0,37499.8219473,37499.8219473,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,62579.0,7442.0,0.0,0.0,INF090I01TN8,Debt,,,0.0,1.7,37499.8219473,63.15,37499.82,19574850,M,19574850|INF090I01TN8
L,2014-01-24,2021-08-24,12303.906,ICICI Pru Credit Risk-G,159607.4990226,229979.896318,299999.988045,0.0,140392.4890224,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,9817.0,7442.0,0.0,0.0,INF109K01GU4,Debt,0.0,87.96,12.97,24.38,140392.4890224,7.89,140392.49,6409285/67,M,6409285/67|INF109K01GU4
S,2021-03-18,2021-06-15,44873.339,ICICI Pru Equity Arbitrage-G,1199940.0088634,0.0,1214496.920035,14556.9111716,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5692.0,7442.0,0.0,0.0,INF109K01BF6,Balanced,1.21,0.0,26.74,27.06,14556.9111716,1.95,14556.91,7429440/49,M,7429440/49|INF109K01BF6
S,2020-05-03,2021-03-07,3.843,SBI Liquid-G,11940.9169509,0.0,12280.6927215,339.7757706,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,7518.0,7442.0,0.0,0.0,INF200K01MA1,Cash,2.85,0.0,3107.19,3195.6,339.7757706,192.84,339.78,20703958,M,20703958|INF200K01MA1
S,2020-05-03,2021-03-07,2.764,Kotak Liquid Reg-G,11105.5798028,0.0,11418.50551,312.9257072,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,10649.0,7442.0,0.0,0.0,INF174K01NI9,Cash,2.82,0.0,4017.94,4131.15,312.9257072,207.4,312.93,5392841/10,M,5392841/10|INF174K01NI9
L,2013-09-18,2021-03-05,80223.342,ICICI Pru Credit Risk-G,1000000.0026984,1368181.821873,1882480.831701,0.0,882480.8290026,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,9817.0,7442.0,0.0,0.0,INF109K01GU4,Debt,0.0,88.25,12.47,23.47,882480.8290026,1.26,882480.83,6409285/67,M,6409285/67|INF109K01GU4
L,2014-01-24,2021-03-05,5008.168,ICICI Pru Credit Risk-G,64966.4561128,88885.924045,117519.166204,0.0,52552.7100912,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,9817.0,7442.0,0.0,0.0,INF109K01GU4,Debt,0.0,80.89,12.97,23.47,52552.7100912,20.15,52552.71,6409285/67,M,6409285/67|INF109K01GU4
S,2020-10-07,2021-01-19,127262.973,ICICI Pru Equity Arbitrage-IDCW,1747791.4922901,0.0,1755872.6910756,8081.1987855,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5693.0,7442.0,0.0,0.0,INF109K01BE9,Balanced,0.46,0.0,13.73,13.8,8081.1987855,1.35,8081.2,7429440/49,M,7429440/49|INF109K01BE9
S,2020-11-12,2021-01-19,2011.151,ICICI Pru Equity Arbitrage-IDCW,27629.7957833,0.0,27748.2525772,118.4567939,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5693.0,7442.0,0.0,0.0,INF109K01BE9,Balanced,0.43,0.0,13.74,13.8,118.4567939,85.35,118.46,7429440/49,M,7429440/49|INF109K01BE9
S,2020-10-07,2021-01-18,382406.673,ICICI Pru Equity Arbitrage-IDCW,5251858.5249801,0.0,5286848.7355596,34990.2105795,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5693.0,7442.0,0.0,0.0,INF109K01BE9,Balanced,0.67,0.0,13.73,13.83,34990.2105795,0.45,34990.21,7429440/49,M,7429440/49|INF109K01BE9
S,2020-06-26,2021-01-18,2061.629,ICICI Pru Equity Arbitrage-IDCW,28145.9775967,0.0,28502.4332508,356.4556541,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5693.0,7442.0,0.0,0.0,INF109K01BE9,Balanced,1.27,0.0,13.65,13.83,356.4556541,83.09,356.46,7429440/49,M,7429440/49|INF109K01BE9
S,2020-06-16,2021-01-18,85692.347,ICICI Pru Equity Arbitrage-IDCW,1172639.7840521,0.0,1184713.8357444,12074.0516923,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5693.0,7442.0,0.0,0.0,INF109K01BE9,Balanced,1.03,0.0,13.68,13.83,12074.0516923,2.0,12074.05,7429440/49,M,7429440/49|INF109K01BE9
S,2020-05-03,2020-10-28,100.594,Mirae Asset Cash Management-G,209114.3444676,0.0,212785.8041608,3671.4596932,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,11670.0,7442.0,0.0,0.0,INF769K01788,Cash,1.76,0.0,2078.8,2115.29,3671.4596932,11.13,3671.46,70412521812,M,70412521812|INF769K01788
S,2020-05-03,2020-10-20,63.29,SBI Liquid-G,196653.820927,0.0,200001.254343,3347.433416,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,7518.0,7442.0,0.0,0.0,INF200K01MA1,Cash,1.7,0.0,3107.19,3160.08,3347.433416,11.84,3347.43,20703958,M,20703958|INF200K01MA1
S,2020-06-16,2020-10-16,23922.321,ICICI Pru Equity Arbitrage-IDCW,327360.2172603,0.0,328991.7195525,1631.5022922,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5693.0,7442.0,0.0,0.0,INF109K01BE9,Balanced,0.5,0.0,13.68,13.75,1631.5022922,7.2,1631.5,7429440/49,M,7429440/49|INF109K01BE9
S,2020-05-22,2020-10-16,4017.44,ICICI Pru Equity Arbitrage-IDCW,54937.286768,0.0,55249.8436,312.556832,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5693.0,7442.0,0.0,0.0,INF109K01BE9,Balanced,0.57,0.0,13.67,13.75,312.556832,42.86,312.56,7429440/49,M,7429440/49|INF109K01BE9
S,2020-02-28,2020-10-16,44775.018,ICICI Pru Equity Arbitrage-IDCW,609987.9802212,0.0,615768.435045,5780.4548238,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5693.0,7442.0,0.0,0.0,INF109K01BE9,Balanced,0.95,0.0,13.62,13.75,5780.4548238,3.85,5780.45,7429440/49,M,7429440/49|INF109K01BE9
S,2020-05-03,2020-10-14,48.975,Kotak Liquid Reg-G,196778.4988575,0.0,200001.117525,3222.6186675,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,10649.0,7442.0,0.0,0.0,INF174K01NI9,Cash,1.64,0.0,4017.94,4083.74,3222.6186675,11.84,3222.62,5392841/10,M,5392841/10|INF174K01NI9
S,2020-05-03,2020-09-28,94.812,Mirae Asset Cash Management-G,197094.7494648,0.0,199999.5805584,2904.8310936,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,11670.0,7442.0,0.0,0.0,INF769K01788,Cash,1.47,0.0,2078.8,2109.43,2904.8310936,11.84,2904.83,70412521812,M,70412521812|INF769K01788
S,2020-05-03,2020-09-21,63.467,SBI Liquid-G,197203.7929021,0.0,200001.0691936,2797.2762915,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,7518.0,7442.0,0.0,0.0,INF200K01MA1,Cash,1.42,0.0,3107.19,3151.26,2797.2762915,11.84,2797.28,20703958,M,20703958|INF200K01MA1
,2017-04-05,2020-09-16,50.0,CCL MLD SERIES 2 - TYPE I,5000000.0,,7395950.0,0.0,2395950.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST ,,3242.0,,,,Managed Products,0.0,47.92,100000.0,147919.0,2395950.0,0.13,2395950.0,3782,O,
S,2020-05-03,2020-09-14,49.112,Kotak Liquid Reg-G,197328.9563224,0.0,199998.3113912,2669.3550688,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,10649.0,7442.0,0.0,0.0,INF174K01NI9,Cash,1.35,0.0,4017.94,4072.29,2669.3550688,11.84,2669.36,5392841/10,M,5392841/10|INF174K01NI9
L,2015-11-02,2020-09-07,37411.149,Aditya Birla SL Frontline Equity-G,6000000.07662,0.0,8085297.52188,0.0,2085297.44526,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,4485.0,7442.0,216.12,226.6,INF209K01BR9,Equity,0.0,34.75,160.38,216.12,2085297.44526,0.29,2085297.45,1017327097,M,1017327097|INF209K01BR9
S,2020-01-24,2020-09-03,21703.432,Franklin India Credit Risk Fund - Segregated Portfolio 2 Reg-G,0.0,0.0,36811.1910152,36811.1910152,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,62579.0,7442.0,0.0,0.0,INF090I01TN8,Debt,,,0.0,1.7,36811.1910152,64.33,36811.19,19574850,M,19574850|INF090I01TN8
S,2020-05-03,2020-08-30,95.055,Mirae Asset Cash Management-G,197599.896747,0.0,200000.0640135,2400.1672665,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,11670.0,7442.0,0.0,0.0,INF769K01788,Cash,1.21,0.0,2078.8,2104.05,2400.1672665,11.84,2400.17,70412521812,M,70412521812|INF769K01788
S,2020-05-03,2020-08-20,63.629,SBI Liquid-G,197707.1570827,0.0,199999.2390981,2292.0820154,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,7518.0,7442.0,0.0,0.0,INF200K01MA1,Cash,1.16,0.0,3107.19,3143.21,2292.0820154,11.84,2292.08,20703958,M,20703958|INF200K01MA1
S,2020-05-03,2020-08-16,49.229,Kotak Liquid Reg-G,197799.0550333,0.0,200000.9057476,2201.8507143,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,10649.0,7442.0,0.0,0.0,INF174K01NI9,Cash,1.11,0.0,4017.94,4062.66,2201.8507143,11.84,2201.85,5392841/10,M,5392841/10|INF174K01NI9
S,2020-02-28,2020-07-30,402530.427,ICICI Pru Equity Arbitrage-IDCW,5483833.0191918,0.0,5500054.9953999,16221.9762081,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5693.0,7442.0,0.0,0.0,INF109K01BE9,Balanced,0.3,0.0,13.62,13.66,16221.9762081,0.43,16221.98,7429440/49,M,7429440/49|INF109K01BE9
S,2020-02-28,2020-07-29,47621.966,ICICI Pru Equity Arbitrage-IDCW,648773.0916044,0.0,650006.5005238,1233.4089194,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5693.0,7442.0,0.0,0.0,INF109K01BE9,Balanced,0.19,0.0,13.62,13.65,1233.4089194,3.64,1233.41,7429440/49,M,7429440/49|INF109K01BE9
S,2020-05-03,2020-07-28,95.339,Mirae Asset Cash Management-G,198190.2746406,0.0,200000.9243269,1810.6496863,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,11670.0,7442.0,0.0,0.0,INF769K01788,Cash,0.91,0.0,2078.8,2097.79,1810.6496863,11.84,1810.65,70412521812,M,70412521812|INF769K01788
S,2020-05-03,2020-07-20,63.808,SBI Liquid-G,198263.3434304,0.0,199999.220928,1735.8774976,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,7518.0,7442.0,0.0,0.0,INF200K01MA1,Cash,0.88,0.0,3107.19,3134.39,1735.8774976,11.84,1735.88,20703958,M,20703958|INF200K01MA1
S,2020-05-03,2020-07-14,49.371,Kotak Liquid Reg-G,198369.6021867,0.0,200000.7015363,1631.0993496,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,10649.0,7442.0,0.0,0.0,INF174K01NI9,Cash,0.82,0.0,4017.94,4050.98,1631.0993496,11.84,1631.1,5392841/10,M,5392841/10|INF174K01NI9
S,2020-01-24,2020-07-10,252950.493,Franklin India Credit Risk Fund - Segregated Portfolio 1 Reg-G,0.0,0.0,20691.3503274,20691.3503274,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,62556.0,7442.0,0.0,0.0,INF090I01TJ6,Debt,,,0.0,0.08,20691.3503274,114.45,20691.35,19574850,M,19574850|INF090I01TJ6
S,2020-05-03,2020-06-29,95.577,Mirae Asset Cash Management-G,198685.0279458,0.0,199999.0109841,1313.9830383,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,11670.0,7442.0,0.0,0.0,INF769K01788,Cash,0.66,0.0,2078.8,2092.54,1313.9830383,11.84,1313.98,70412521812,M,70412521812|INF769K01788
S,2020-05-03,2020-06-22,63.97,SBI Liquid-G,198766.707611,0.0,199999.505466,1232.797855,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,7518.0,7442.0,0.0,0.0,INF200K01MA1,Cash,0.62,0.0,3107.19,3126.46,1232.797855,11.84,1232.8,20703958,M,20703958|INF200K01MA1
S,2020-01-24,2020-06-15,20737.175,Franklin India Credit Risk Fund - Segregated Portfolio 1 Reg-G,0.0,0.0,1696.300915,1696.300915,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,62556.0,7442.0,0.0,0.0,INF090I01TJ6,Debt,,,0.0,0.08,1696.300915,1396.11,1696.3,19574850,M,19574850|INF090I01TJ6
S,2020-05-03,2020-06-15,49.518,Kotak Liquid Reg-G,198960.2390286,0.0,200000.354715,1040.1156864,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,10649.0,7442.0,0.0,0.0,INF174K01NI9,Cash,0.52,0.0,4017.94,4038.94,1040.1156864,11.84,1040.12,5392841/10,M,5392841/10|INF174K01NI9
S,2020-05-03,2020-05-28,95.88,Mirae Asset Cash Management-G,199314.902952,0.0,199999.534092,684.63114,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,11670.0,7442.0,0.0,0.0,INF769K01788,Cash,0.34,0.0,2078.8,2085.94,684.63114,11.84,684.63,70412521812,M,70412521812|INF769K01788
S,2020-05-03,2020-05-20,64.194,SBI Liquid-G,199462.7173422,0.0,199999.1416644,536.4243222,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,7518.0,7442.0,0.0,0.0,INF200K01MA1,Cash,0.27,0.0,3107.19,3115.54,536.4243222,11.84,536.42,20703958,M,20703958|INF200K01MA1
S,2020-05-03,2020-05-14,49.692,Kotak Liquid Reg-G,199659.3601884,0.0,199998.696918,339.3367296,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,10649.0,7442.0,0.0,0.0,INF174K01NI9,Cash,0.17,0.0,4017.94,4024.77,339.3367296,11.84,339.34,5392841/10,M,5392841/10|INF174K01NI9
S,2018-11-05,2020-04-16,5.0,Nippon India ETF Liquid BeES-IDCWD,5000.0,0.0,4999.0,-1.0,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,9887.0,7404.0,0.0,0.0,INF732E01037,Debt,-0.02,0.0,1000.0,999.8,-1.0,473.74,-1.0,7404,M,7404|INF732E01037
S,2018-07-10,2020-03-30,249535.863,L&T Credit Risk-G,4999999.9941036,0.0,5388801.8222439,388801.8281403,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,11174.0,7442.0,0.0,0.0,INF917K01130,Debt,7.78,0.0,20.04,21.6,388801.8281403,0.44,388801.83,4730530/92,M,4730530/92|INF917K01130
L,2017-04-27,2020-03-30,51440.329,ICICI Pru Infrastructure-G,2499999.9894,0.0,1611625.50757,0.0,-888374.48183,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,5941.0,7442.0,48.6,56.81,INF109K01AV5,Equity,0.0,-35.53,48.6,31.33,-888374.48183,1.47,-888374.48,6409285/67,M,6409285/67|INF109K01AV5
S,2018-07-10,2020-03-27,273687.668,Franklin India Credit Risk-G,5000000.006692,0.0,5003202.1524076,3202.1457156,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST Bank POA,9911.0,7442.0,0.0,0.0,INF090I01ET7,Debt,0.06,0.0,18.27,18.28,3202.1457156,0.47,3202.15,19574850,M,19574850|INF090I01ET7
L,2017-08-14,2020-03-26,17797.0,CENTRUM CAPITAL LTD,1074230.194648,0,144511.64,0.0,-929718.554648,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,2405.0,7404.0,60.360184,73.5,INE660C01027,Equity,0.0,-86.55,60.36,8.12,-929718.554648,5.18,-929718.55,,E,
L,2018-02-19,2020-03-26,15000.0,CENTRUM CAPITAL LTD,943993.29,0,121800.0,0.0,-822193.29,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,2405.0,7404.0,62.932886,73.5,INE660C01027,Equity,0.0,-87.1,62.93,8.12,-822193.29,6.14,-822193.29,,E,
L,2017-08-14,2020-03-25,2000.0,CENTRUM CAPITAL LTD,120720.368,0,16000.0,0.0,-104720.368,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,2405.0,7404.0,60.360184,73.5,INE660C01027,Equity,0.0,-86.75,60.36,8.0,-104720.368,46.77,-104720.37,,E,
